DAMAGE,ZIPCODE,ROOFCONSTR,EAVES,VENTSCREEN,EXTERIORSI,WINDOWPANE,VSD ,YEARBUILT,Distance,EMBER,FLAME,LATITUDE,LONGITUDE
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1978,49.29277552,0.21285631,3.16433239,34.2940854,-119.2019259
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,37.49203747,0.238419461,,34.2936329,-119.2091791
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Single Pane,1,1964,49.2370373,0.027751804,,34.28512546,-119.2866917
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,51.932242,0.121757813,,34.2941705,-119.2048315
Minor (10-25%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1978,35.115971,0.30266588,2.671377659,34.2942484,-119.2013118
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1964,24.43409554,0,9.549870491,34.2934905,-119.2123595
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Single Pane,1,1964,21.48544113,0.213770888,8.330934525,34.2928593,-119.2128136
No Damage,93108,,,,,,1,,100.2340832,0,,34.449981,-119.641498
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1978,49.29277552,0.229283854,3.16433239,34.294408,-119.2019378
No Damage,93108,,,,,,1,,71.94200598,0,,34.450117,-119.639664
No Damage,93108,,,,,,1,,71.94200598,0,,34.450117,-119.639664
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1962,37.49203747,0.000346951,,34.293909,-119.209235
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,2.142031004,0,,34.294309,-119.2042443
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,0,0.030471802,9.445698738,34.2943204,-119.2070357
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,0,0.122055935,9.445698738,34.2943204,-119.2070357
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,0,0.122055935,9.445698738,34.2943204,-119.2070357
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,0,0.030471802,9.445698738,34.2943204,-119.2070357
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,26.77491893,0.143869629,9.738779068,34.2944839,-119.2065152
No Damage,93108,,,,,,1,,10.12370014,0,,34.448641,-119.608207
No Damage,93108,,,,,,1,,10.71386189,0,,34.448641,-119.608207
No Damage,93108,,,,,,1,,52.94608442,0,,34.451638,-119.639848
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,34.58353031,0.30266371,9.221520424,34.2947526,-119.2065654
Minor (10-25%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1947,13.14416099,0,7.151252747,34.28253016,-119.2712696
No Damage,93009,,,,,,1,,31.19431314,0.043782416,,34.2946396,-119.2046395
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,32.29791889,0.099931776,14.24548626,34.294877,-119.2061061
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,2.142031004,0.101955024,,34.2945166,-119.204056
No Damage,93108,,,,,,1,,0,0,,34.449333,-119.607872
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1988,0,0,,34.449333,-119.607872
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1988,0,0,,34.449333,-119.607872
No Damage,93108,,,,,,1,,0,0,,34.449333,-119.607872
Destroyed (>50%),,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1988,0,0,,34.449333,-119.607872
No Damage,93108,,,,,,1,,0,0,,34.449333,-119.607872
No Damage,93108,,,,,,1,,0,0,,34.449333,-119.607872
No Damage,,,,,,,1,,12.94741529,0.077794461,,34.2973719,-119.2120324
No Damage,,,,,,,1,,12.94741529,0.346055501,9.503108025,34.2973719,-119.2120324
Destroyed (>50%),,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,1,1962,32.39144695,0.148859592,9.882193565,34.2948161,-119.2072165
No Damage,93009,,,,,,1,,43.17750557,0.059535048,,34.2943088,-119.2086601
No Damage,93009,,,,,,1,,31.19431314,0,,34.2948659,-119.2044566
Destroyed (>50%),,Fire Resistant,Enclosed,Unknown,Fire Resistant,Unknown,1,1978,32.54703305,0.090614692,8.192149162,34.2947697,-119.2038785
No Damage,93108,,,,,,1,,279.7065775,0,,34.450137,-119.607877
No Damage,,,,,,,1,,7.10380718,0.195655924,,34.2949309,-119.2077277
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,33.39855972,0,9.662005424,34.2953818,-119.2063121
Affected (1-9%),93009,Fire Resistant,Unenclosed,,Combustible,Single Pane,1,0,22.25441655,0.177856445,3.208846092,34.2953178,-119.2068307
No Damage,93009,,,,,,1,,32.54703305,0.318918728,,34.2949853,-119.2037623
No Damage,93108,,,,,,1,,4.67701271,0,,34.450342,-119.644192
No Damage,93108,,,,,,1,,4.67701271,0,,34.450342,-119.644192
No Damage,93108,,,,,,1,,88.3994607,0,,34.44712635,-119.6059058
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane,1,1964,27.80498735,0.302672526,1.277368546,34.2937781,-119.2128818
No Damage,,,,,,,1,,7.10380718,0.2908058,,34.2951373,-119.2078085
Affected (1-9%),93009,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane,1,1998,25.73838401,0.127957357,9.215579987,34.2956343,-119.2064045
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,0,0,3.208846092,34.2955285,-119.2069705
Destroyed (>50%),,Fire Resistant,Unknown,Unknown,Fire Resistant,Multi Pane,1,1962,0,0,3.208846092,34.2955285,-119.2069705
